Term,P_value,Adjusted_P_value,Odds_Ratio,Combined_Score,Genes
Negative Regulation Of Apoptotic Process (GO:0043066),0.0005956838622992212,0.012950389312757696,2.4057971014492754,17.864969232260286,TNFAIP8;EGR3;KLF4;DLL1;TNF;IFIT3;FOXO1;NFKB1;NR4A2;SOCS3;IL6;SIX4;ZC3H12A;BCL3;PIM1;SPRY2;CCL2;PIM3;IER3;BIRC3
Positive Regulation Of Programmed Cell Death (GO:0043068),0.0005993868826381542,0.012950389312757696,3.088741673197492,22.91723787261736,GBP5;KLF11;JUN;TNFAIP8;GADD45B;GADD45A;BCL10;TNF;FOXO1;IFIT2;BMP2;IL6;PMAIP1
Positive Regulation Of Cell Population Proliferation (GO:0008284),0.0006112429273109408,0.013030118558644898,2.4004757880239147,17.76355945048009,CSF3;EGR4;CSF1;STAT1;LIF;PROX1;RBPJ;DLL1;TNF;EREG;FOSL1;IL6;BMP2;MEIS1;NR4A3;FGF18;PIM1;HES1;JAK2;NKX3-1
Cellular Response To Interferon-Beta (GO:0035458),0.0006152603900996422,0.013030118558644898,12.075715604801477,89.28138044738779,PNPT1;IFNB1;STAT1;IRF1
Cellular Response To Type III Interferon (GO:0071358),0.000657655804314058,0.013657531703182233,23.23756906077348,170.25769156676503,IFNL2;IFNL1;IFNL3
Type III Interferon-Mediated Signaling Pathway (GO:0038196),0.000657655804314058,0.013657531703182233,23.23756906077348,170.25769156676503,IFNL2;IFNL1;IFNL3
Regulation Of Nitric Oxide Biosynthetic Process (GO:0045428),0.0006809261836172401,0.014004818334204583,8.006944444444445,58.38709249663047,ZC3H12A;PTGS2;JAK2;KLF4;TNF
Cellular Response To Chemokine (GO:1990869),0.0007071656174100484,0.014270068449434844,6.17501445314553,44.795071832602844,DUSP1;CCL20;ZC3H12A;CCL2;CXCL3;CXCL2
Negative Regulation Of Cytokine-Mediated Signaling Pathway (GO:0001960),0.0007071656174100484,0.014270068449434844,6.17501445314553,44.795071832602844,CYLD;IL6;STAT2;NLRC5;PARP14;USP18
Regulation Of Phosphorylation (GO:0042325),0.0007483678111293908,0.014960362130895017,5.099441340782123,36.703820456656096,CDKN1B;SOCS1;STAT2;NLRC5;ROPN1L;BCL10;EREG
Regulation Of NIK/NF-kappaB Signaling (GO:1901222),0.0008047199965722093,0.01593792659877737,5.03208615113202,35.853695202682545,NFKBIA;CYLD;TNFSF14;IL23A;ZC3H12A;BCL3;TNF
Regulation Of Interleukin-1 Beta Production (GO:0032651),0.0008643714510241181,0.01673420460329054,4.966480446927374,35.0311093724533,GBP5;EGR1;IL6;ZC3H12A;TNFAIP3;JAK2;TNF
Secondary Alcohol Biosynthetic Process (GO:1902653),0.000868394909287167,0.01673420460329054,10.867036011080332,76.60025873125716,G6PD;NSDHL;DHCR7;TM7SF2
Positive Regulation Of p38MAPK Cascade (GO:1900745),0.000868394909287167,0.01673420460329054,10.867036011080332,76.60025873125716,BMP2;GADD45B;GADD45A;ZC3H12A
Negative Regulation Of I-kappaB kinase/NF-kappaB Signaling (GO:0043124),0.0009620894059852621,0.018374189637522104,7.356606606606607,51.10195548201903,PER1;STAT1;ZC3H12A;TNFAIP3;NR1D1
Cholesterol Biosynthetic Process (GO:0006695),0.0010190491886546956,0.01928978950913623,10.349030470914128,71.29328340852337,NSDHL;G6PD;DHCR7;TM7SF2
Regulation Of Type II Interferon Production (GO:0032649),0.0010644807359478205,0.019950353741749683,4.779504189944134,32.7169879026861,IFNL1;IL23A;DDIT3;ZC3H12A;IL12A;JAK2;RASGRP1
Intracellular Glucose Homeostasis (GO:0001678),0.001072599663534929,0.019950353741749683,7.1626461988304095,48.97581092768054,NGFR;ZBTB20;NR1D1;PCK1;FOXO1
Regulation Of Interleukin-6 Production (GO:0032675),0.0011698604026731964,0.02157182242515489,4.128534432640981,27.8712027596793,IL1A;IL6;ZC3H12A;TNFAIP3;BCL10;POU2F2;TNF;EREG
Cellular Response To Type II Interferon (GO:0071346),0.0012817402731242734,0.02343284140352838,5.452646239554317,36.312096850607645,GBP5;CCL20;STAT1;IRF1;CCL2;JAK2
Regulation Of Neurogenesis (GO:0050767),0.0013865547514800537,0.02492303036483895,5.36298461116946,35.293443503947806,PER2;IL6;BHLHE41;HES1;TNF;DLL1
Regulation Of Viral Genome Replication (GO:0045069),0.0013865547514800537,0.02492303036483895,5.36298461116946,35.293443503947806,ZNFX1;IFNB1;IFIT5;PROX1;TNF;IFNL3
Antiviral Innate Immune Response (GO:0140374),0.0014607706660998841,0.02555141728091558,6.637533875338754,43.335072283977446,SENP7;TNF;USP18;IFIT3;IFIT2
Negative Regulation Of Cold-Induced Thermogenesis (GO:0120163),0.0014607706660998841,0.02555141728091558,6.637533875338754,43.335072283977446,FOXC2;DDIT3;ARRDC3;NR1D1;RBPJ
Regulation Of Cold-Induced Thermogenesis (GO:0120161),0.0014692960848773334,0.02555141728091558,3.5980070532272617,23.4696987124422,KDM6B;PER2;ACHE;FOXC2;DDIT3;ARRDC3;NR1D1;RBPJ;JAK2
Positive Regulation Of Cellular Catabolic Process (GO:0031331),0.0014692960848773334,0.02555141728091558,3.5980070532272617,23.4696987124422,PNPT1;DTX3L;IFNB1;ZC3H12A;ZBTB20;TICAM1;TNF;TRIM22;FOXO1
Negative Regulation Of T Cell Differentiation (GO:0045581),0.0015048827730360693,0.025751554012193215,16.263812154696133,105.6991702262991,IFNL1;IFNB1;IRF1
Regulation Of T-helper 17 Type Immune Response (GO:2000316),0.0015048827730360693,0.025751554012193215,16.263812154696133,105.6991702262991,IL23A;JAK2;JUNB
Sterol Biosynthetic Process (GO:0016126),0.0015798768055234299,0.026820289579481082,9.054016620498615,58.40210491847508,NSDHL;G6PD;DHCR7;TM7SF2
Positive Regulation Of Lymphocyte Activation (GO:0051251),0.0016105708050264743,0.0269994384934883,6.479166666666667,41.66860042795027,IL6;IL23A;CCL2;IL12A;TICAM1
Response To Molecule Of Bacterial Origin (GO:0002237),0.0016156746737571305,0.0269994384934883,5.192200557103064,33.37547896580225,IL6;TNFAIP3;IL12A;JAK2;CXCL2;SELE
Regulation Of Intrinsic Apoptotic Signaling Pathway (GO:2001242),0.0017713517467380505,0.02914554912517454,6.328165374677003,40.09533380950184,CYLD;DDIT3;PMAIP1;BBC3;NKX3-1
Cellular Response To Mechanical Stimulus (GO:0071260),0.0017713517467380505,0.02914554912517454,6.328165374677003,40.09533380950184,TNFSF14;GADD45A;IRF1;BCL10;NFKB1
Response To Interferon-Beta (GO:0035456),0.0018065662597236784,0.029274585072340514,8.691412742382271,54.89780783703686,PNPT1;IFNB1;STAT1;IRF1
Negative Regulation Of DNA Binding (GO:0043392),0.0018065662597236784,0.029274585072340514,8.691412742382271,54.89780783703686,NFKBIA;PER2;JUN;JAK2
Negative Regulation Of Receptor Signaling Pathway Via STAT (GO:1904893),0.0018895354159082988,0.03016206160170038,14.784530386740332,92.72006301049456,SOCS3;SOCS1;BCL3
Positive Regulation Of Acute Inflammatory Response (GO:0002675),0.0018895354159082988,0.03016206160170038,14.784530386740332,92.72006301049456,IL6;PTGS2;TNF
Regulation Of Defense Response (GO:0031347),0.0020048583402286517,0.03176586659073397,4.246275605214152,26.378636346601716,CYLD;IRF1;JAK2;PTGS2;SELE;USP18;BIRC3
Positive Regulation Of Fat Cell Differentiation (GO:0045600),0.0021277427996576445,0.03346501359167428,6.046296296296297,37.20100840276297,ZFP36;BMP2;ZC3H12A;PIM1;PTGS2
Receptor Signaling Pathway Via STAT (GO:0097696),0.002325717002276855,0.035857780835160565,8.046783625730994,48.79349832506553,IFNB1;STAT1;STAT2;JAK2
Negative Regulation Of Epithelial Cell Differentiation (GO:0030857),0.0023301690210786904,0.035857780835160565,13.551795580110497,82.14847057994125,SPRY2;SPRY1;DLL1
Negative Regulation Of Type I Interferon-Mediated Signaling Pathway (GO:0060339),0.0023301690210786904,0.035857780835160565,13.551795580110497,82.14847057994125,STAT2;NLRC5;USP18
Regulation Of Cell Development (GO:0060284),0.0025337425012443263,0.03871196578686867,5.788416075650118,34.60348598501148,PER2;BHLHE41;HES1;MYSM1;DLL1
Negative Regulation Of Fat Cell Differentiation (GO:0045599),0.002620193103295904,0.03974888686489318,7.759002770083103,46.12344830004464,BMP2;IL6;TNF;FOXO1
Positive Regulation Of Interleukin-6 Production (GO:0032755),0.002649404592089315,0.039908988890697494,4.671309192200557,27.71684100560508,IL1A;IL6;BCL10;POU2F2;TNF;EREG
Negative Regulation Of Metabolic Process (GO:0009892),0.0027565408222460764,0.04123245327821229,5.667534722222222,33.40319548739257,FOXC2;DDIT3;ARRDC3;NR1D1;RBPJ
Cell Surface Receptor Signaling Pathway Involved In Heart Development (GO:0061311),0.002829383502983494,0.04173828491642547,12.508712282192946,73.39732645874834,BMP2;NOG;RBPJ
Pharyngeal System Development (GO:0060037),0.002829383502983494,0.04173828491642547,12.508712282192946,73.39732645874834,SIX4;NOG;HES1
Regulation Of Cell Adhesion Mediated By Integrin (GO:0033628),0.002939257868737552,0.04276486939766455,7.491068869997134,43.6699212642303,EFNA1;FOXC2;LIF;FERMT3
Regulation Of Innate Immune Response (GO:0045088),0.0030197928290431925,0.04276486939766455,4.54108635097493,26.349958029569027,GBP5;IFNB1;IRF1;TNFAIP3;EREG;BIRC3
Negative Regulation Of MAPK Cascade (GO:0043409),0.0031397870249006564,0.04276486939766455,3.89804469273743,22.46677159098506,BMP2;DUSP1;SPRY2;SPRY1;DUSP8;FOXO1;DUSP13
Cellular Response To Cold (GO:0070417),0.003202654430095558,0.04276486939766455,36.05509641873278,207.0923723797132,NFKBIA;FOXO1
Regulation Of Type B Pancreatic Cell Proliferation (GO:0061469),0.003202654430095558,0.04276486939766455,36.05509641873278,207.0923723797132,NR4A1;NR4A3
Regulation Of Vitamin D Biosynthetic Process (GO:0060556),0.003202654430095558,0.04276486939766455,36.05509641873278,207.0923723797132,TNF;NFKB1
Hepatocyte Differentiation (GO:0070365),0.003202654430095558,0.04276486939766455,36.05509641873278,207.0923723797132,PROX1;PCK1
Inflammatory Response To Wounding (GO:0090594),0.003202654430095558,0.04276486939766455,36.05509641873278,207.0923723797132,IL6;TNF
Negative Regulation Of PERK-mediated Unfolded Protein Response (GO:1903898),0.003202654430095558,0.04276486939766455,36.05509641873278,207.0923723797132,PPP1R15A;PPP1R15B
Negative Regulation Of Astrocyte Differentiation (GO:0048712),0.003202654430095558,0.04276486939766455,36.05509641873278,207.0923723797132,NOG;NR1D1
Negative Regulation Of Lens Fiber Cell Differentiation (GO:1902747),0.003202654430095558,0.04276486939766455,36.05509641873278,207.0923723797132,SPRY2;SPRY1
Positive Regulation Of NK T Cell Proliferation (GO:0051142),0.003202654430095558,0.04276486939766455,36.05509641873278,207.0923723797132,IL23A;JAK2
Positive Regulation Of Fever Generation (GO:0031622),0.003202654430095558,0.04276486939766455,36.05509641873278,207.0923723797132,PTGS2;TNF
Regulation Of NK T Cell Activation (GO:0051133),0.003202654430095558,0.04276486939766455,36.05509641873278,207.0923723797132,IL23A;IL12A
Regulation Of Calcidiol 1-Monooxygenase Activity (GO:0060558),0.003202654430095558,0.04276486939766455,36.05509641873278,207.0923723797132,TNF;NFKB1
Positive Regulation Of Catabolic Process (GO:0009896),0.0032188611374586217,0.04276486939766455,4.478650742168123,25.701756920457736,CDKN1B;TIPARP;ASB9;TNFAIP3;TNF;FOXO1
Cellular Response To Fibroblast Growth Factor Stimulus (GO:0044344),0.0032441326974628464,0.042834566912796475,5.440277777777778,31.17772729371903,NR4A1;ZFP36;EGR3;FGF18;FRS2
Regulation Of Receptor Signaling Pathway Via STAT (GO:1904892),0.003389579926121341,0.043126646662023045,11.6146408839779,66.05303508674771,IL6;HES1;JAK2
Cellular Response To Glucocorticoid Stimulus (GO:0071385),0.003389579926121341,0.043126646662023045,11.6146408839779,66.05303508674771,ZFP36;KLF9;PCK1
Negative Regulation Of Striated Muscle Cell Differentiation (GO:0051154),0.003389579926121341,0.043126646662023045,11.6146408839779,66.05303508674771,BMP2;BHLHE41;FRS2
Positive Regulation Of Glial Cell Differentiation (GO:0045687),0.003389579926121341,0.043126646662023045,11.6146408839779,66.05303508674771,EGR2;BMP2;HES1
Positive Regulation Of Leukocyte Adhesion To Vascular Endothelial Cell (GO:1904996),0.003389579926121341,0.043126646662023045,11.6146408839779,66.05303508674771,IL6;SELE;TNF
Positive Regulation Of Leukocyte Proliferation (GO:0070665),0.003389579926121341,0.043126646662023045,11.6146408839779,66.05303508674771,CSF1;IL12A;JAK2
Negative Regulation Of Protein Serine/Threonine Kinase Activity (GO:0071901),0.0034275502255932296,0.043126646662023045,4.4179025822479865,25.075615205397124,BMP2;CDKN1B;DUSP1;GADD45A;SPRY2;SPRY1
Positive Regulation Of Immune Response (GO:0050778),0.0034275502255932296,0.043126646662023045,4.4179025822479865,25.075615205397124,GBP5;IFNL1;IL23A;IFNB1;PCK1;EREG
Regulation Of Interleukin-8 Production (GO:0032677),0.0036461402337336687,0.04540381574916104,4.3587743732590525,24.470534801155615,IL6;DDIT3;BCL3;BCL10;KLF4;TNF
Regulation Of Cytokine Production (GO:0001817),0.0036509847166225798,0.04540381574916104,3.116430806428673,17.49177306961484,CLEC4A;IL1A;PER1;IL6;ZBTB6;IRF7;ZBTB20;TNF;EREG
Negative Regulation Of Gene Expression (GO:0010629),0.0036788126742831402,0.04548543531960484,2.3922953053387834,13.40921044556789,PNPT1;TIPARP;PARP14;KLF4;TNF;NFKB1;CLEC4A;ZFP36;BMP2;ZC3H12A;REL;EPC1;CPEB3;NKX3-1
Positive Regulation Of Interleukin-1 Beta Production (GO:0032731),0.003790915453780911,0.04660211583699637,5.230502136752137,29.160822190429947,GBP5;EGR1;IL6;JAK2;TNF
Negative Regulation Of Signal Transduction (GO:0009968),0.003830212370055057,0.046816138625987234,2.58356940509915,14.377137523349509,NR4A2;BMP2;SOCS1;GDF15;NOG;TNFAIP3;SPRY2;IL12A;SPRY1;NR1D1;TNF;NKX3-1
Positive Regulation Of Cysteine-Type Endopeptidase Activity Involved In Apoptotic Process (GO:0043280),0.003864868325461595,0.04682733111162959,3.744413407821229,20.803315603993585,NGFR;PMAIP1;BCL10;JAK2;TNF;BBC3;NKX3-1
Positive Regulation Of Tumor Necrosis Factor Superfamily Cytokine Production (GO:1903557),0.0038749123921264315,0.04682733111162959,4.301202169769828,23.88557449504402,IL1A;IL6;IL23A;BCL10;JAK2;RASGRP1
Regulation Of Epidermal Cell Differentiation (GO:0045604),0.004012968395365361,0.047163403283991795,10.839779005524862,59.81632934904875,ZFP36;MAFF;DLL1
Cardiac Atrium Morphogenesis (GO:0003209),0.004012968395365361,0.047163403283991795,10.839779005524862,59.81632934904875,BMP2;NOG;PROX1
Mesenchyme Morphogenesis (GO:0072132),0.004012968395365361,0.047163403283991795,10.839779005524862,59.81632934904875,BMP2;NOG;MDM4
Negative Regulation Of Lipid Storage (GO:0010888),0.004012968395365361,0.047163403283991795,10.839779005524862,59.81632934904875,NFKBIA;IL6;TNF
Positive Regulation Of Osteoclast Differentiation (GO:0045672),0.004012968395365361,0.047163403283991795,10.839779005524862,59.81632934904875,CSF1;IL23A;TNF
Receptor Signaling Pathway Via JAK-STAT (GO:0007259),0.004053624365696755,0.047262640853218546,6.787742382271468,37.38786174977367,IFNB1;STAT1;STAT2;JAK2
Response To Organic Cyclic Compound (GO:0014070),0.004087699185528486,0.047262640853218546,5.131551362683438,28.222367702088636,TIPARP;CCL2;PMAIP1;TNF;NKX3-1
Positive Regulation Of Type II Interferon Production (GO:0032729),0.004087699185528486,0.047262640853218546,5.131551362683438,28.222367702088636,IFNL1;IL23A;IL12A;JAK2;RASGRP1
Negative Regulation Of Transmembrane Receptor Protein Serine/Threonine Kinase Signaling Pathway (GO:0090101),0.004271866771980351,0.04912646787777404,3.6720294370434035,20.033507024945628,BMP2;FST;NOG;SPRY2;ARID4B;SPRY1;SKIL
Ventricular Septum Development (GO:0003281),0.00448059549215213,0.04976444551370792,6.581717451523546,35.5939234959086,NOG;HES1;MDM4;PROX1
Negative Regulation Of Endothelial Cell Proliferation (GO:0001937),0.00448059549215213,0.04976444551370792,6.581717451523546,35.5939234959086,NGFR;STAT1;CCL2;IL12A
Negative Regulation Of Smooth Muscle Cell Proliferation (GO:0048662),0.00448059549215213,0.04976444551370792,6.581717451523546,35.5939234959086,BMP2;CDKN1B;TNFAIP3;IL12A
Negative Regulation Of Stress-Activated MAPK Cascade (GO:0032873),0.00448059549215213,0.04976444551370792,6.581717451523546,35.5939234959086,CYLD;PER1;DUSP1;FOXO1
Regulation Of Fibroblast Growth Factor Receptor Signaling Pathway (GO:0040036),0.004701575701371801,0.04976444551370792,10.161774861878452,54.465665926618016,NOG;SPRY2;SPRY1
Atrioventricular Valve Morphogenesis (GO:0003181),0.004701575701371801,0.04976444551370792,10.161774861878452,54.465665926618016,EFNA1;BMP2;MDM4
Cardiac Epithelial To Mesenchymal Transition (GO:0060317),0.004701575701371801,0.04976444551370792,10.161774861878452,54.465665926618016,BMP2;SPRY1;RBPJ
Regulation Of Vascular Endothelial Growth Factor Signaling Pathway (GO:1900746),0.004701575701371801,0.04976444551370792,10.161774861878452,54.465665926618016,SPRY2;IL12A;DLL1
Regulation Of Extrinsic Apoptotic Signaling Pathway (GO:2001236),0.004730428614810514,0.04976444551370792,4.944444444444445,26.47126735148208,CYLD;TRAF1;LTB;BCL10;TNF
Regulation Of Ketone Biosynthetic Process (GO:0010566),0.004746118225711275,0.04976444551370792,27.03994490358127,144.6752840273015,EGR1;PPTC7
Regulation Of Lens Fiber Cell Differentiation (GO:1902746),0.004746118225711275,0.04976444551370792,27.03994490358127,144.6752840273015,SPRY2;SPRY1
Negative Regulation Of Blood Vessel Endothelial Cell Proliferation Involved In Sprouting Angiogenesis (GO:1903588),0.004746118225711275,0.04976444551370792,27.03994490358127,144.6752840273015,NGFR;IL12A
Negative Regulation Of Lymphocyte Differentiation (GO:0045620),0.004746118225711275,0.04976444551370792,27.03994490358127,144.6752840273015,IFNL1;IFNB1
Negative Regulation Of Type 2 Immune Response (GO:0002829),0.004746118225711275,0.04976444551370792,27.03994490358127,144.6752840273015,IFNL1;IFNB1
Pharyngeal Arch Artery Morphogenesis (GO:0061626),0.004746118225711275,0.04976444551370792,27.03994490358127,144.6752840273015,NOG;HES1
Positive Regulation Of Endoplasmic Reticulum Stress-Induced Intrinsic Apoptotic Signaling Pathway (GO:1902237),0.004746118225711275,0.04976444551370792,27.03994490358127,144.6752840273015,DDIT3;PMAIP1
Positive Regulation Of Gliogenesis (GO:0014015),0.004746118225711275,0.04976444551370792,27.03994490358127,144.6752840273015,IL6;TNF
Regulation Of NK T Cell Proliferation (GO:0051140),0.004746118225711275,0.04976444551370792,27.03994490358127,144.6752840273015,IL23A;JAK2
Positive Regulation Of Cellular Biosynthetic Process (GO:0031328),0.004774838013566719,0.049821358590337615,2.9831460674157304,15.943111611554295,EGR1;IL6;BCL3;NR1D1;CPEB3;PTGS2;KLF4;TNF;FOXO1
